gamut,family,H,balancedCV,metricCV,balancedJump,metricJump
full,black,0,0.379649435646077,0.4124257613034338,0.029846261099232753,0.03592567785143862
full,black,5,0.37867425772736574,0.460060528222819,0.030726486781269935,0.04404662180250356
full,black,10,0.39157261936838794,0.4922894112920063,0.029290131469214498,0.03740543365982962
full,black,15,0.39699847811408273,0.5092662678552959,0.029203353827747504,0.03463728075380046
full,black,20,0.39693848112853114,0.48508840140825604,0.030088618410458744,0.03537010633825551
full,black,25,0.3915155761815462,0.4161402481102211,0.031568343823968115,0.03488920516640284
full,black,30,0.38265897333846854,0.36943260958236224,0.03220241647662133,0.03494394657765973
full,black,35,0.3715473082123645,0.3483293936155892,0.0305398261320916,0.03425843538378094
full,black,40,0.3676198781732567,0.34353848027114076,0.028133109260208074,0.03306182826273584
full,black,45,0.36279226861976077,0.3541051494801962,0.026648996700051115,0.032217125222559984
full,black,50,0.3501074302275352,0.33538451001381436,0.025950329977186555,0.031340472374543404
full,black,55,0.321613918922555,0.31442521136661,0.02503052143744037,0.029571062858206997
full,black,60,0.29163113080690495,0.31805576574037364,0.024958090059186585,0.029924342113326084
full,black,65,0.2812508980810605,0.3478633774358476,0.024568918119625287,0.029368322612838272
full,black,70,0.2858037370806798,0.34777300623351953,0.025113128225669884,0.02903115252480613
full,black,75,0.29050317229929556,0.2789750069632325,0.025386126325478743,0.02616790646631988
full,black,80,0.27462005048807187,0.1955336032205676,0.025167160155821218,0.022754368019121788
full,black,85,0.24171973578165612,0.1814558229966809,0.02508099912272544,0.02132699653140574
full,black,90,0.21685266744200898,0.19033579500357875,0.02456353462194697,0.02221477282400671
full,black,95,0.20913060300952097,0.20570120747391366,0.024845998920903264,0.024136158997885026
full,black,100,0.22945617690130046,0.221558607202429,0.025889688735234062,0.026513195927371336
full,black,105,0.2704344543519822,0.20617547699414107,0.02883453703355071,0.027113622719866587
full,black,110,0.30117176585566924,0.17662345819591702,0.030848999559445322,0.025348540298842377
full,black,115,0.3131568718420743,0.17202965440616827,0.030608724356814165,0.025666971984681153
full,black,120,0.33304644843701625,0.19575128699748717,0.03245851590566741,0.02687245214488996
full,black,125,0.3410502676017472,0.2390974570228411,0.029821060534796207,0.027652003946888
full,black,130,0.34309417222232796,0.25276742162294863,0.02800863832994536,0.024875667079873643
full,black,135,0.31952057907377324,0.23716165341130618,0.025834867491732815,0.023366227966516374
full,black,140,0.26298272624849267,0.19116165850353015,0.024492996398273445,0.022428088694262244
full,black,145,0.21928778671715862,0.20332219937878468,0.022052136315973685,0.02137195262556165
full,black,150,0.2284032998608112,0.23103405266765242,0.02221019769445783,0.02320238086676115
full,black,155,0.2422881173199428,0.21876250046326734,0.020841859218638854,0.026159862117337156
full,black,160,0.27001483214842253,0.3227656607431716,0.024990586453365424,0.034205659493607515
full,black,165,0.34950577347795087,0.39233654199059387,0.03082403278623812,0.04500878131488424
full,black,170,0.3923341668296951,0.41826936207791254,0.03817470223285386,0.05423037999532741
full,black,175,0.3393268896777011,0.3953548512059882,0.03621484485927063,0.055675291887695114
full,black,180,0.4051237221434252,0.44495239195900826,0.03565295680958254,0.04884545903703623
full,black,185,0.29607605755155214,0.25964128597243574,0.03250540365246243,0.037488258059204686
full,black,190,0.3008748086025167,0.2391836304944593,0.03678741034496337,0.039241607457702124
full,black,195,0.36702612113671695,0.2668155717287252,0.04221842143912887,0.03740087317588409
full,black,200,0.4120307151982326,0.29205372332831775,0.044013424131725765,0.03450966901659827
full,black,205,0.4263991746436922,0.3305808152692136,0.04097906998992814,0.04256544631391632
full,black,210,0.4186976866461992,0.3610172040980272,0.03896750743065304,0.05256177360352291
full,black,215,0.40374385408316843,0.4460372797714925,0.038556944095035205,0.06671648293921546
full,black,220,0.3706341956637724,0.4707721462054363,0.03926778461111516,0.06284457422089104
full,black,225,0.3722279522577909,0.5104324379102511,0.032562295498501335,0.05497290270165669
full,black,230,0.4331535519903323,0.5577948977729819,0.03783257112681355,0.0621024607401748
full,black,235,0.47213293178836624,0.5924896496358252,0.047045440303224315,0.06488009976221226
full,black,240,0.4446652874715503,0.5039532507531724,0.04759253716073309,0.053563182000256185
full,black,245,0.41085849500433047,0.4106961745991075,0.04513668934546001,0.043499919533804755
full,black,250,0.36402821802851876,0.4417188736896235,0.04315729543719762,0.04423813602287774
full,black,255,0.2936311440646816,0.4187406680146385,0.03472920761496923,0.043295166422145225
full,black,260,0.29589836657819474,0.43599166889113716,0.03389622920646759,0.046453264019140655
full,black,265,0.30333973034838396,0.4366205678945282,0.03581992996658208,0.04803931728958943
full,black,270,0.3336240112304206,0.44150841659381956,0.03637917649362706,0.04703516425307847
full,black,275,0.36970066060476536,0.435491915134261,0.035938456551260684,0.043513011358665955
full,black,280,0.38107974629914976,0.36577946293381813,0.035799363360727324,0.04113732244739674
full,black,285,0.3482170574520816,0.24776920079103668,0.034820334831056864,0.031426486952065236
full,black,290,0.4217497548490985,0.5738238767925049,0.03831162726752692,0.04598607581529378
full,black,295,0.464572694940325,0.5550047980736404,0.0355691084970109,0.035468598961857584
full,black,300,0.420689879902001,0.488860465609653,0.03288916540071441,0.0289098637845991
full,black,305,0.3426311491463838,0.40384489391099027,0.029313168992655625,0.033470301267719396
full,black,310,0.3030191324549494,0.37886862426547246,0.027267966640647123,0.03295708912951871
full,black,315,0.3442500498893666,0.3949930373074805,0.02708535715019772,0.02983353254596946
full,black,320,0.4672586754737811,0.514915608757173,0.03199150389987552,0.034959820253163784
full,black,325,0.5811169097122665,0.6753082169078296,0.03928969978506683,0.04397679717363874
full,black,330,0.6268695711881095,0.7675785145954318,0.04351024931641778,0.05092981076922202
full,black,335,0.5697587167585163,0.6635438324012528,0.04654515195956569,0.05772470941298998
full,black,340,0.41922933781712424,0.5059821196126945,0.03759499710053531,0.0653433176417261
full,black,345,0.3714935904403743,0.4418057478860657,0.03234796666551197,0.062363621779717396
full,black,350,0.3637016002968506,0.35217362063784086,0.031093022206475345,0.04947194381391305
full,black,355,0.366073641204781,0.3586623640453452,0.030265519292802134,0.03739433150728602
full,white,0,0.3324026676172604,0.5076975611782668,0.017970582673846422,0.0316730988691243
full,white,5,0.27496635789991475,0.542608917519211,0.01678043313469027,0.03226215207283119
full,white,10,0.2686630130229447,0.50197137730211,0.015560536697529093,0.02560675683904761
full,white,15,0.2771602832622689,0.4685052863439916,0.0144639834404196,0.02298488265534598
